Strategy,Multiplier,Threads,Time_seconds,Speedup,Efficiency_percent
Fine-grained-locking,1,10,6.162268,0.962308,9.623080
Fine-grained-locking,2,10,7.740370,1.335853,13.358534
Fine-grained-locking,3,10,8.747893,1.718128,17.181280
Fine-grained-locking,4,10,9.901171,2.000773,20.007735
Fine-grained-locking,5,10,11.484295,2.113321,21.133209
Fine-grained-locking,6,10,12.658982,2.433845,24.338451
Fine-grained-locking,7,10,13.821231,2.665464,26.654645
Fine-grained-locking,8,10,15.114805,2.646412,26.464120
Fine-grained-locking,9,10,16.166844,2.844092,28.440925
Fine-grained-locking,10,10,17.686719,2.799841,27.998409
