frequency,count
716,6
717,1
718,2
719,6
720,3
721,4
722,3
723,3
724,6
725,3
726,2
727,3
728,4
729,2
730,2
731,4
732,3
733,5
734,3
736,3
737,4
738,1
739,1
740,4
741,4
742,1
743,2
744,4
745,3
746,1
747,1
748,4
749,2
750,4
751,2
752,5
753,3
754,2
755,2
756,5
757,2
758,5
759,4
760,1
761,1
762,3
763,6
764,5
765,5
766,4
767,4
769,4
770,2
771,6
772,4
773,5
774,2
776,1
777,2
778,6
779,3
780,2
781,1
782,1
783,3
784,2
785,2
786,3
787,2
788,4
789,3
790,4
791,2
792,4
793,2
794,4
795,1
796,2
797,3
798,3
799,3
800,1
801,4
802,4
803,2
805,1
806,4
807,4
808,4
810,4
811,4
812,3
813,2
814,4
815,2
816,3
817,3
818,1
819,3
820,2
821,1
823,1
824,2
825,2
826,3
827,1
828,5
829,3
830,6
831,3
832,2
833,3
834,1
836,3
837,1
838,2
840,3
842,5
843,2
844,1
845,2
846,2
848,2
850,3
851,1
852,2
853,2
854,1
855,4
856,3
857,2
858,2
859,3
860,3
861,1
862,5
863,1
864,4
865,2
866,4
868,2
869,2
870,1
871,2
872,2
873,3
874,5
875,5
876,4
877,2
879,3
880,4
881,1
882,1
884,1
885,1
886,2
887,3
888,2
891,4
892,2
893,3
896,2
897,3
899,1
900,4
902,4
903,1
904,1
905,2
906,5
907,2
908,3
909,2
910,1
911,1
912,2
913,1
914,2
915,1
916,4
917,3
918,1
919,2
920,3
921,3
922,3
923,2
924,1
925,1
926,2
927,2
928,3
929,3
930,1
933,2
934,5
935,2
936,2
937,3
939,4
940,1
941,1
942,2
944,1
945,2
946,1
947,2
948,1
950,3
951,3
952,1
953,2
954,2
955,3
956,2
957,7
959,1
960,3
961,2
962,2
965,2
966,5
967,2
968,2
971,5
972,1
973,2
974,5
975,3
976,4
977,2
978,2
979,4
980,3
981,2
983,2
984,3
985,2
986,1
987,2
988,1
989,2
990,1
991,2
992,1
994,2
995,4
998,1
999,1
1000,2
1002,1
1004,4
1005,1
1006,3
1007,1
1010,1
1011,1
1012,1
1013,1
1015,2
1016,2
1017,3
1018,4
1019,3
1022,2
1023,2
1024,3
1026,3
1027,2
1028,1
1029,3
1030,1
1031,1
1032,2
1033,1
1034,2
1035,1
1036,3
1038,1
1040,4
1041,2
1042,3
1043,2
1044,1
1045,1
1047,4
1048,5
1049,3
1050,1
1051,1
1052,1
1053,3
1054,1
1055,3
1057,1
1058,2
1059,1
1060,1
1062,2
1063,2
1064,1
1065,8
1066,3
1067,1
1068,2
1069,2
1070,1
1071,4
1073,2
1074,2
1076,1
1077,1
1079,1
1080,1
1081,1
1082,2
1083,1
1086,1
1087,1
1090,2
1091,2
1092,4
1094,2
1095,4
1096,2
1097,1
1098,1
1099,1
1100,2
1101,1
1103,2
1105,2
1108,2
1109,1
1111,1
1112,1
1113,2
1114,1
1115,1
1116,2
1117,2
1119,1
1120,1
1121,1
1122,2
1123,1
1124,3
1125,3
1126,2
1127,2
1129,2
1130,1
1131,4
1132,2
1133,2
1134,1
1135,2
1137,2
1138,1
1139,6
1140,1
1143,2
1144,1
1145,6
1147,2
1149,3
1150,1
1151,1
1152,1
1153,3
1155,2
1158,3
1160,1
1161,2
1162,1
1163,2
1164,1
1166,3
1167,3
1168,1
1169,4
1170,1
1171,2
1172,3
1173,3
1176,1
1178,2
1179,1
1180,1
1181,1
1182,1
1184,2
1185,1
1186,2
1187,1
1189,2
1190,3
1192,1
1193,1
1195,1
1197,3
1198,1
1199,2
1201,1
1202,2
1203,1
1204,1
1205,1
1206,1
1207,1
1208,1
1209,2
1211,3
1213,2
1214,2
1215,3
1217,2
1218,2
1219,2
1220,1
1224,2
1226,2
1227,1
1230,1
1231,1
1232,2
1235,2
1236,1
1237,1
1238,3
1239,1
1240,2
1241,3
1242,1
1243,2
1244,3
1245,3
1247,3
1249,1
1251,2
1252,3
1253,1
1254,2
1257,2
1259,2
1260,1
1264,1
1265,1
1266,1
1268,1
1270,2
1271,1
1273,1
1274,1
1275,1
1277,2
1279,1
1280,2
1281,1
1282,2
1286,2
1287,1
1289,1
1290,2
1291,3
1293,1
1294,3
1297,1
1298,1
1299,2
1301,1
1303,2
1304,2
1305,1
1306,2
1307,1
1308,1
1309,1
1310,2
1312,1
1313,1
1314,2
1316,2
1317,2
1318,1
1320,2
1321,1
1322,2
1323,2
1324,2
1326,1
1330,1
1335,1
1337,2
1342,1
1343,1
1345,2
1348,1
1350,1
1353,1
1354,1
1355,1
1358,3
1359,2
1361,3
1364,2
1365,1
1368,1
1370,1
1371,2
1373,2
1375,3
1376,2
1378,2
1379,1
1380,1
1382,1
1384,2
1387,2
1389,1
1390,1
1392,3
1393,1
1395,2
1396,1
1397,1
1400,1
1402,1
1403,1
1404,1
1405,1
1406,1
1409,1
1412,1
1413,2
1421,1
1422,1
1423,1
1426,2
1428,1
1429,2
1430,2
1432,1
1433,1
1434,1
1436,1
1438,1
1441,1
1442,1
1443,1
1444,1
1446,3
1447,1
1450,1
1451,2
1452,1
1453,1
1454,1
1455,1
1456,1
1457,1
1462,1
1465,2
1466,1
1467,1
1469,1
1470,1
1471,1
1472,1
1473,1
1475,1
1477,1
1479,1
1481,4
1484,1
1487,2
1488,1
1489,2
1492,2
1498,1
1503,1
1504,2
1505,1
1507,1
1508,2
1510,1
1511,1
1514,1
1516,1
1518,2
1520,2
1521,1
1522,2
1525,1
1526,3
1527,1
1528,1
1536,1
1541,1
1543,1
1546,1
1549,1
1550,1
1554,1
1556,2
1558,2
1559,1
1560,2
1561,2
1563,1
1566,1
1569,2
1570,1
1571,1
1572,2
1574,2
1575,1
1577,1
1581,1
1582,1
1583,1
1584,1
1586,1
1594,1
1598,1
1599,2
1601,3
1605,1
1606,1
1607,1
1608,2
1609,1
1610,2
1613,1
1617,1
1618,3
1622,1
1625,1
1627,2
1635,1
1636,1
1638,2
1642,1
1653,1
1667,1
1671,1
1672,2
1673,1
1674,4
1679,1
1682,1
1685,1
1687,1
1690,1
1693,2
1694,1
1699,1
1700,2
1701,1
1704,1
1706,1
1708,2
1709,1
1712,1
1713,1
1714,1
1717,1
1719,2
1721,1
1722,1
1726,1
1732,1
1734,2
1737,1
1738,1
1739,1
1750,3
1753,1
1754,1
1757,1
1758,1
1760,1
1765,1
1766,1
1767,1
1770,4
1772,1
1775,1
1777,1
1778,1
1782,2
1784,2
1789,1
1790,1
1792,1
1794,1
1796,1
1797,1
1798,2
1803,1
1804,1
1806,2
1810,2
1811,1
1813,1
1814,1
1816,2
1822,1
1827,1
1829,1
1833,1
1835,1
1837,3
1838,2
1841,1
1845,3
1847,1
1856,1
1858,1
1860,2
1861,1
1874,1
1877,4
1878,1
1881,2
1884,1
1885,1
1886,1
1888,1
1890,3
1891,2
1892,1
1895,1
1898,1
1904,1
1907,1
1908,2
1910,1
1911,2
1913,1
1914,3
1915,1
1918,2
1922,1
1923,1
1925,2
1926,2
1928,1
1929,1
1937,1
1938,1
1943,1
1944,1
1945,2
1948,1
1966,2
1968,1
1970,1
1973,1
1974,1
1977,1
1981,1
1982,1
1983,1
1985,1
1994,1
2007,1
2016,1
2020,1
2022,1
2024,2
2027,1
2029,1
2031,1
2036,2
2037,2
2038,1
2041,1
2048,1
2050,1
2052,1
2059,2
2076,1
2081,1
2088,1
2091,1
2093,1
2095,3
2097,1
2098,1
2099,1
2101,1
2104,1
2105,1
2113,3
2115,1
2116,1
2117,2
2119,1
2122,1
2132,1
2136,4
2137,2
2138,1
2139,4
2140,1
2142,1
2146,1
2149,1
2152,1
2162,1
2163,2
2164,1
2166,2
2167,2
2169,1
2174,1
2178,1
2179,1
2180,1
2181,1
2191,1
2199,1
2204,1
2205,2
2206,2
2208,1
2214,1
2216,1
2220,1
2221,1
2230,1
2232,1
2235,1
2237,2
2240,1
2242,1
2244,1
2245,1
2246,1
2252,1
2254,1
2255,2
2262,1
2267,1
2270,1
2274,1
2276,1
2278,2
2279,1
2280,1
2287,1
2288,1
2289,1
2293,1
2294,1
2301,1
2310,1
2327,1
2337,1
2342,1
2346,1
2348,1
2352,1
2358,1
2366,1
2368,1
2378,2
2380,2
2384,1
2386,1
2392,2
2394,1
2399,1
2401,1
2405,1
2407,1
2412,1
2423,1
2426,1
2427,1
2436,1
2438,1
2442,1
2443,1
2448,1
2451,1
2454,1
2456,1
2465,1
2468,1
2473,1
2474,1
2476,1
2486,1
2488,1
2493,1
2499,1
2500,2
2501,1
2503,1
2506,2
2508,1
2514,1
2521,1
2525,1
2528,1
2529,1
2532,1
2537,1
2543,1
2547,1
2557,1
2558,1
2564,1
2566,1
2571,2
2580,1
2582,1
2586,1
2590,2
2591,1
2599,1
2606,1
2609,1
2610,1
2615,1
2619,1
2624,1
2634,1
2639,1
2645,1
2653,1
2658,1
2663,2
2669,1
2671,1
2681,1
2691,1
2695,1
2700,1
2704,1
2716,1
2719,1
2728,1
2730,1
2734,1
2739,1
2741,1
2748,1
2763,1
2769,1
2774,1
2775,2
2776,1
2793,1
2794,1
2795,1
2802,1
2818,1
2822,1
2829,1
2840,1
2844,1
2856,1
2862,1
2864,1
2887,1
2888,1
2889,1
2902,1
2905,1
2913,1
2915,1
2917,1
2921,1
2927,1
2929,1
2931,1
2937,1
2960,1
2969,1
2974,1
2984,1
2989,1
3007,1
3019,1
3022,1
3035,2
3037,1
3039,1
3061,1
3063,1
3075,2
3084,1
3103,1
3104,3
3134,1
3140,2
3151,1
3155,1
3175,1
3182,1
3185,1
3199,1
3217,1
3222,1
3224,1
3237,1
3243,1
3262,1
3263,1
3269,1
3276,1
3287,1
3291,1
3301,1
3306,1
3345,1
3349,1
3350,1
3371,1
3385,1
3393,1
3406,1
3415,1
3422,1
3449,1
3454,1
3482,1
3486,1
3488,1
3493,1
3501,1
3528,1
3529,1
3536,1
3550,1
3551,1
3572,1
3584,1
3622,2
3633,2
3634,1
3639,1
3643,1
3648,1
3653,1
3677,1
3680,1
3707,2
3713,1
3714,1
3718,1
3725,1
3745,1
3767,1
3771,1
3775,1
3780,1
3803,2
3810,1
3823,1
3860,1
3863,1
3869,1
3873,1
3888,1
3895,1
3897,1
3921,1
3947,1
3949,1
3985,1
3989,1
3992,1
4011,1
4026,1
4074,1
4075,1
4108,1
4151,1
4158,1
4169,2
4193,1
4199,1
4203,1
4206,1
4240,1
4246,1
4254,1
4260,1
4262,1
4265,1
4267,1
4276,1
4277,1
4289,1
4300,2
4339,1
4364,1
4368,1
4370,1
4374,1
4400,1
4478,1
4480,1
4492,1
4542,1
4546,1
4547,1
4555,1
4558,1
4566,1
4592,1
4595,1
4643,1
4647,1
4656,1
4692,1
4707,1
4713,1
4723,1
4759,1
4770,1
4776,1
4872,1
4875,1
4906,1
4930,1
4934,1
4952,1
4958,1
4969,1
4985,1
4988,1
5001,1
5050,1
5102,1
5117,1
5125,1
5158,1
5203,1
5215,1
5284,1
5297,1
5306,1
5365,1
5387,1
5398,1
5400,1
5422,1
5427,1
5457,1
5489,1
5500,1
5510,1
5542,1
5551,1
5571,1
5618,1
5670,1
5694,1
5727,1
5758,1
5831,1
5885,1
5886,1
5914,1
5935,1
5989,1
5990,1
6031,1
6123,1
6183,1
6187,1
6200,1
6273,1
6420,1
6471,1
6499,1
6503,1
6504,1
6545,1
6646,1
6714,1
6723,1
6726,1
6730,1
6732,1
6852,1
6874,1
6876,1
6899,1
6966,1
6991,1
7033,1
7079,1
7107,1
7209,1
7222,1
7288,1
7300,1
7313,1
7328,1
7352,1
7375,1
7393,1
7404,1
7420,1
7422,1
7641,1
7652,1
7813,1
7828,1
7888,1
7893,1
7924,1
8021,1
8032,1
8104,1
8155,1
8316,1
8429,1
8441,1
8487,1
8539,1
8544,1
8605,1
8650,1
8687,1
8710,1
8725,1
8742,1
8776,1
8782,1
8880,1
8894,1
8898,1
8929,1
8970,1
9041,1
9313,1
9456,1
9463,1
9651,1
9875,1
10250,1
10412,1
10468,1
10470,1
10485,1
10987,1
11146,1
11331,1
11482,1
11509,1
11668,1
12607,1
13334,1
13359,1
13566,1
14018,1
14455,1
14717,1
15377,1
15802,1
16256,1
17440,1
17978,1
18281,1
20192,1
20431,1
20897,1
22235,1
22448,1
22969,1
22993,1
23250,1
23253,1
23296,1
23699,1
28086,1
31137,1
33452,1
40718,1
58091,1
80627,1
139216,1
